"Freq [GHz]","Y(1,1) [mSie]"
4.8,2.99752378480603E-07 - 0.178892801552203i
4.80020010005003,2.99895023819196E-07 - 0.178678677641225i
4.80040020010005,3.00037764091851E-07 - 0.178464562770173i
4.80060030015007,3.00180588241014E-07 - 0.178250456937803i
4.8008004002001,3.00323499513908E-07 - 0.178036360142868i
4.80100050025013,3.00466497672031E-07 - 0.177822272384125i
4.80120060030015,3.00609583509397E-07 - 0.177608193660327i
4.80140070035018,3.00752754311261E-07 - 0.177394123970232i
4.8016008004002,3.00896018409074E-07 - 0.177180063312592i
4.80180090045022,3.01039362825562E-07 - 0.176966011686166i
4.80200100050025,3.01182797866667E-07 - 0.176751969089706i
4.80220110055027,3.013263225132E-07 - 0.176537935521971i
4.8024012006003,3.01469930190077E-07 - 0.176323910981714i
4.80260130065033,3.01613630703918E-07 - 0.176109895467693i
4.80280140070035,3.01757416110729E-07 - 0.175895888978662i
4.80300150075037,3.01901287100703E-07 - 0.17568189151338i
4.8032016008004,3.02045249919924E-07 - 0.1754679030706i
4.80340170085042,3.02189299444905E-07 - 0.175253923649082i
4.80360180090045,3.02333438319453E-07 - 0.17503995324758i
4.80380190095048,3.02477661235756E-07 - 0.174825991864851i
4.8040020010005,3.02621977162539E-07 - 0.174612039499654i
4.80420210105053,3.02766376141482E-07 - 0.174398096150744i
4.80440220110055,3.02910870255381E-07 - 0.174184161816877i
4.80460230115058,3.03055445895939E-07 - 0.173970236496814i
4.8048024012006,3.03200116025575E-07 - 0.173756320189309i
4.80500250125063,3.03344872396708E-07 - 0.17354241289312i
4.80520260130065,3.03489714337941E-07 - 0.173328514607007i
4.80540270135068,3.03634641132335E-07 - 0.173114625329724i
4.8056028014007,3.03779668530808E-07 - 0.172900745060031i
4.80580290145073,3.03924777779875E-07 - 0.172686873796685i
4.80600300150075,3.04069975505376E-07 - 0.172473011538446i
4.80620310155078,3.04215261582665E-07 - 0.17225915828407i
4.8064032016008,3.04360639041549E-07 - 0.172045314032317i
4.80660330165083,3.04506103077879E-07 - 0.171831478781944i
4.80680340170085,3.04651657593497E-07 - 0.171617652531711i
4.80700350175088,3.0479729863271E-07 - 0.171403835280376i
4.8072036018009,3.04943037621473E-07 - 0.171190027026698i
4.80740370185093,3.05088855915032E-07 - 0.170976227769435i
4.80760380190095,3.05234770238777E-07 - 0.170762437507348i
4.80780390195098,3.05380771706237E-07 - 0.170548656239194i
4.808004002001,3.0552686347706E-07 - 0.170334883963733i
4.80820410205103,3.05673044136843E-07 - 0.170121120679725i
4.80840420210105,3.0581930995055E-07 - 0.169907366385931i
4.80860430215108,3.059656704057E-07 - 0.169693621081108i
4.8088044022011,3.0611212037558E-07 - 0.169479884764017i
4.80900450225112,3.06258664643272E-07 - 0.169266157433419i
4.80920460230115,3.06405291197421E-07 - 0.169052439088071i
4.80940470235118,3.06552008984752E-07 - 0.168838729726737i
4.8096048024012,3.06698822412373E-07 - 0.168625029348174i
4.80980490245123,3.06845714640087E-07 - 0.168411337951145i
4.81000500250125,3.06992706487494E-07 - 0.168197655534409i
4.81020510255127,3.07139785327102E-07 - 0.167983982096726i
4.8104052026013,3.07286959461296E-07 - 0.167770317636859i
4.81060530265133,3.07434214903174E-07 - 0.167556662153569i
4.81080540270135,3.07581571970029E-07 - 0.167343015645614i
4.81100550275138,3.07729007562943E-07 - 0.167129378111756i
4.8112056028014,3.07876542772024E-07 - 0.16691574955076i
4.81140570285143,3.0802416758833E-07 - 0.166702129961384i
4.81160580290145,3.08171878498842E-07 - 0.166488519342391i
4.81180590295148,3.0831968407809E-07 - 0.166274917692541i
4.8120060030015,3.08467577219754E-07 - 0.166061325010597i
4.81220610305153,3.08615562937316E-07 - 0.165847741295321i
4.81240620310155,3.0876364165288E-07 - 0.165634166545474i
4.81260630315158,3.08911812556535E-07 - 0.165420600759819i
4.8128064032016,3.09060072515305E-07 - 0.165207043937117i
4.81300650325163,3.09208418221649E-07 - 0.164993496076133i
4.81320660330165,3.0935686188567E-07 - 0.164779957175626i
4.81340670335168,3.0950539767942E-07 - 0.164566427234363i
4.8136068034017,3.09654024225914E-07 - 0.164352906251103i
4.81380690345173,3.09802738868991E-07 - 0.16413939422461i
4.81400700350175,3.09951546571708E-07 - 0.163925891153647i
4.81420710355178,3.10100444446412E-07 - 0.163712397036977i
4.8144072036018,3.10249437212465E-07 - 0.163498911873365i
4.81460730365183,3.10398527262913E-07 - 0.163285435661572i
4.81480740370185,3.10547700249843E-07 - 0.163071968400362i
4.81500750375188,3.10696966051877E-07 - 0.162858510088498i
4.8152076038019,3.10846322266035E-07 - 0.162645060724745i
4.81540770385193,3.10995770777652E-07 - 0.162431620307867i
4.81560780390195,3.11145317811872E-07 - 0.162218188836627i
4.81580790395198,3.11294951687029E-07 - 0.16200476630979i
4.816008004002,3.11444679494334E-07 - 0.161791352726118i
4.81620810405203,3.11594500389185E-07 - 0.161577948084379i
4.81640820410205,3.11744417909347E-07 - 0.161364552383333i
4.81660830415208,3.1189441984729E-07 - 0.161151165621748i
4.8168084042021,3.12044518333659E-07 - 0.160937787798388i
4.81700850425213,3.12194709879034E-07 - 0.160724418912016i
4.81720860430215,3.12344990763862E-07 - 0.160511058961399i
4.81740870435218,3.12495365050156E-07 - 0.160297707945299i
4.8176088044022,3.12645837641591E-07 - 0.160084365862485i
4.81780890445223,3.1279640008576E-07 - 0.159871032711722i
4.81800900450225,3.12947049363826E-07 - 0.159657708491772i
4.81820910455228,3.13097805622449E-07 - 0.159444393201401i
4.8184092046023,3.13248642225152E-07 - 0.159231086839378i
4.81860930465233,3.13399575736696E-07 - 0.159017789404467i
4.81880940470235,3.13550602652489E-07 - 0.158804500895433i
4.81900950475238,3.13701723735909E-07 - 0.158591221311043i
4.8192096048024,3.13852936308039E-07 - 0.158377950650062i
4.81940970485243,3.14004246451697E-07 - 0.158164688911257i
4.81960980490245,3.14155651261624E-07 - 0.157951436093393i
4.81980990495248,3.14307142097036E-07 - 0.15773819219524i
4.8200100050025,3.14458733600262E-07 - 0.15752495721556i
