capSim:LastAdaptive
Problem Type:  C
C Units:pF, G Units:mSie
Reduce Matrix:  Original
Frequency:  5GHz

Capacitance Matrix
,Q0Pad1,Q0Pad2,Q1Pad1,Q1Pad2,R0Pad1,R0Pad2,R1Pad1,R1Pad2,
Q0Pad1, 0.12419,-0.04290,-0.00377,-0.00252,-0.00000,-0.01156,-0.00000,-0.00004
Q0Pad2,-0.04290, 0.11785,-0.00252,-0.00381,-0.00000,-0.00123,-0.00000,-0.00004
Q1Pad1,-0.00377,-0.00252, 0.10422,-0.02892,-0.00000,-0.00004,-0.00000,-0.00661
Q1Pad2,-0.00252,-0.00381,-0.02892, 0.10196,-0.00000,-0.00004,-0.00000,-0.00116
R0Pad1,-0.00000,-0.00000,-0.00000,-0.00000, 0.07312,-0.00000,-0.00000,-0.00000
R0Pad2,-0.01156,-0.00123,-0.00004,-0.00004,-0.00000, 0.02488,-0.00000,-0.00000
R1Pad1,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.07332,-0.00000
R1Pad2,-0.00004,-0.00004,-0.00661,-0.00116,-0.00000,-0.00000,-0.00000, 0.02361

Capacitance Matrix Coupling Coefficient
,Q0Pad1,Q0Pad2,Q1Pad1,Q1Pad2,R0Pad1,R0Pad2,R1Pad1,R1Pad2,
Q0Pad1, 1.00000, 0.35457, 0.03316, 0.02236, 0.00000, 0.20796, 0.00000, 0.00083
Q0Pad2, 0.35457, 1.00000, 0.02273, 0.03472, 0.00000, 0.02266, 0.00000, 0.00081
Q1Pad1, 0.03316, 0.02273, 1.00000, 0.28053, 0.00000, 0.00081, 0.00000, 0.13334
Q1Pad2, 0.02236, 0.03472, 0.28053, 1.00000, 0.00000, 0.00079, 0.00000, 0.02364
R0Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000, 0.00001, 0.00000, 0.00000
R0Pad2, 0.20796, 0.02266, 0.00081, 0.00079, 0.00001, 1.00000, 0.00000, 0.00001
R1Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000, 0.00000
R1Pad2, 0.00083, 0.00081, 0.13334, 0.02364, 0.00000, 0.00001, 0.00000, 1.00000

Spice Capacitance Matrix
