capSim:LastAdaptive
Problem Type:  C
C Units:pF, G Units:mSie
Reduce Matrix:  Original
Frequency:  1GHz

Capacitance Matrix
,Q0Pad1,Q0Pad2,Q1Pad1,Q1Pad2,R0Pad1,R0Pad2,R1Pad1,R1Pad2,
Q0Pad1, 0.12428,-0.04295,-0.00379,-0.00253,-0.00000,-0.01157,-0.00000,-0.00005
Q0Pad2,-0.04295, 0.11790,-0.00253,-0.00383,-0.00000,-0.00123,-0.00000,-0.00004
Q1Pad1,-0.00379,-0.00253, 0.10400,-0.02895,-0.00000,-0.00004,-0.00000,-0.00662
Q1Pad2,-0.00253,-0.00383,-0.02895, 0.10169,-0.00000,-0.00004,-0.00000,-0.00116
R0Pad1,-0.00000,-0.00000,-0.00000,-0.00000, 0.07327,-0.00000,-0.00000,-0.00000
R0Pad2,-0.01157,-0.00123,-0.00004,-0.00004,-0.00000, 0.02488,-0.00000,-0.00000
R1Pad1,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.07349,-0.00000
R1Pad2,-0.00005,-0.00004,-0.00662,-0.00116,-0.00000,-0.00000,-0.00000, 0.02362

Capacitance Matrix Coupling Coefficient
,Q0Pad1,Q0Pad2,Q1Pad1,Q1Pad2,R0Pad1,R0Pad2,R1Pad1,R1Pad2,
Q0Pad1, 1.00000, 0.35483, 0.03332, 0.02248, 0.00000, 0.20803, 0.00000, 0.00083
Q0Pad2, 0.35483, 1.00000, 0.02283, 0.03495, 0.00000, 0.02267, 0.00000, 0.00081
Q1Pad1, 0.03332, 0.02283, 1.00000, 0.28155, 0.00000, 0.00082, 0.00000, 0.13350
Q1Pad2, 0.02248, 0.03495, 0.28155, 1.00000, 0.00000, 0.00079, 0.00000, 0.02370
R0Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000, 0.00000, 0.00000, 0.00000
R0Pad2, 0.20803, 0.02267, 0.00082, 0.00079, 0.00000, 1.00000, 0.00000, 0.00002
R1Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000, 0.00000
R1Pad2, 0.00083, 0.00081, 0.13350, 0.02370, 0.00000, 0.00002, 0.00000, 1.00000

Spice Capacitance Matrix
,Q0Pad1,Q0Pad2,Q1Pad1,Q1Pad2,R0Pad1,R0Pad2,R1Pad1,R1Pad2,
Q0Pad1, 0.06340, 0.04295, 0.00379, 0.00253, 0.00000, 0.01157, 0.00000, 0.00005
Q0Pad2, 0.04295, 0.06732, 0.00253, 0.00383, 0.00000, 0.00123, 0.00000, 0.00004
Q1Pad1, 0.00379, 0.00253, 0.06207, 0.02895, 0.00000, 0.00004, 0.00000, 0.00662
Q1Pad2, 0.00253, 0.00383, 0.02895, 0.06518, 0.00000, 0.00004, 0.00000, 0.00116
R0Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.07326, 0.00000, 0.00000, 0.00000
R0Pad2, 0.01157, 0.00123, 0.00004, 0.00004, 0.00000, 0.01201, 0.00000, 0.00000
R1Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.07349, 0.00000
R1Pad2, 0.00005, 0.00004, 0.00662, 0.00116, 0.00000, 0.00000, 0.00000, 0.01575

Conductance Matrix
,Q0Pad1,Q0Pad2,Q1Pad1,Q1Pad2,R0Pad1,R0Pad2,R1Pad1,R1Pad2,
Q0Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
Q0Pad2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
Q1Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
Q1Pad2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
R0Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
R0Pad2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
R1Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
R1Pad2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000

Conductance Matrix Coupling Coefficient
,Q0Pad1,Q0Pad2,Q1Pad1,Q1Pad2,R0Pad1,R0Pad2,R1Pad1,R1Pad2,
Q0Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
Q0Pad2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
Q1Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
Q1Pad2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
R0Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
R0Pad2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
R1Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
R1Pad2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000

Spice Conductance Matrix
,Q0Pad1,Q0Pad2,Q1Pad1,Q1Pad2,R0Pad1,R0Pad2,R1Pad1,R1Pad2,
Q0Pad1, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000
Q0Pad2,-0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000
Q1Pad1,-0.00000,-0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000
Q1Pad2,-0.00000,-0.00000,-0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000
R0Pad1,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000,-0.00000,-0.00000,-0.00000
R0Pad2,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000,-0.00000,-0.00000
R1Pad1,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000,-0.00000
R1Pad2,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000

