"Freq [GHz]","Y(1,1) [mSie]"
4,6.31054868256446e-08 - 1.1209111393524i
4.01507537688442,6.46809362755116e-08 - 1.10117476654234i
4.03015075376884,6.63034948673114e-08 - 1.08152750752467i
4.04522613065327,6.79748651167473e-08 - 1.06196835532134i
4.06030150753769,6.96968466655022e-08 - 1.04249631754852i
4.07537688442211,7.14712887558406e-08 - 1.02311041613071i
4.09045226130653,7.33001465511858e-08 - 1.00380968702043i
4.10552763819095,7.51854504687172e-08 - 0.984593179923051i
4.12060301507538,7.71293190693639e-08 - 0.965459958026829i
4.1356783919598,7.91339717194849e-08 - 0.946409097737683i
4.15075376884422,8.12017267603673e-08 - 0.92743968841872i
4.16582914572864,8.33350147817532e-08 - 0.908550832134237i
4.18090452261307,8.55363562287629e-08 - 0.889741643398003i
4.19597989949749,8.7808427124168e-08 - 0.871011248925647i
4.21105527638191,9.01539910661624e-08 - 0.852358787390952i
4.22613065326633,9.2575962573916e-08 - 0.833783409185842i
4.24120603015075,9.5077389666711e-08 - 0.815284276183886i
4.25628140703518,9.76614562088764e-08 - 0.796860561507092i
4.2713567839196,1.00331519538316e-07 - 0.778511449295802i
4.28643216080402,1.03091086763594e-07 - 0.760236134481463i
4.30150753768844,1.0594384411578e-07 - 0.742033822562048i
4.31658291457286,1.08893648244035e-07 - 0.72390372937993i
4.33165829145729,1.11944572320864e-07 - 0.70584508090194i
4.34673366834171,1.15100859645337e-07 - 0.687857113001384i
4.36180904522613,1.18367000731967e-07 - 0.66993907124176i
4.37688442211055,1.21747698559587e-07 - 0.652090210661921i
4.39195979899498,1.25247905106732e-07 - 0.634309795562373i
4.4070351758794,1.28872830633961e-07 - 0.616597099292438i
4.42211055276382,1.32627955520605e-07 - 0.598951404037967i
4.43718592964824,1.3651904913658e-07 - 0.581372000609245i
4.45226130653266,1.40552206830783e-07 - 0.563858188228754i
4.46733668341709,1.44733813923326e-07 - 0.546409274318395i
4.48241206030151,1.49070651549111e-07 - 0.529024574285768i
