"Freq [GHz]","Y(1,1) [mSie]"
4,1.26130406145143e-11 + 0.310437159218937i
4.01507537688442,1.29761962882942e-11 + 0.31190097447747i
4.03015075376884,1.33506488106383e-11 + 0.313376540983527i
4.04522613065327,1.37430525086896e-11 + 0.314864431869911i
4.06030150753769,1.41451291062287e-11 + 0.316365258102216i
4.07537688442211,1.45737736807227e-11 + 0.317879671653564i
4.09045226130653,1.50171409412038e-11 + 0.31940836900449i
4.10552763819095,1.54753867949116e-11 + 0.320952095007509i
4.12060301507538,1.59564993740008e-11 + 0.322511647161476i
4.1356783919598,1.64558458969695e-11 + 0.324087880347354i
4.15075376884422,1.69801341990308e-11 + 0.32568171208456i
4.16582914572864,1.75298017564185e-11 + 0.327294128375897i
4.18090452261307,1.8105361332404e-11 + 0.328926190219434i
4.19597989949749,1.87031488390518e-11 + 0.330579040877847i
4.21105527638191,1.93329398739459e-11 + 0.332253914010028i
4.22613065326633,1.99952251097513e-11 + 0.333952142786724i
4.24120603015075,2.06948049080976e-11 + 0.335675170131976i
4.25628140703518,2.14229343904161e-11 + 0.337424560255991i
4.2713567839196,2.21895008419455e-11 + 0.339202011673512i
4.28643216080402,2.30047895705394e-11 + 0.341009371935823i
4.30150753768844,2.3851458152907e-11 + 0.342848654345459i
4.31658291457286,2.47641573557612e-11 + 0.34472205697208i
4.33165829145729,2.57187876408926e-11 + 0.346631984347816i
4.34673366834171,2.67318015221753e-11 + 0.348581072293148i
4.36180904522613,2.78153795815735e-11 + 0.350572216413343i
4.37688442211055,2.89587559119631e-11 + 0.352608604914586i
4.39195979899498,3.01818120850035e-11 + 0.354693756523575i
4.4070351758794,3.14872242987576e-11 + 0.356831564461176i
4.42211055276382,3.28749768724465e-11 + 0.359026347628626i
4.43718592964824,3.43714050526277e-11 + 0.36128291042529i
4.45226130653266,3.5971318836421e-11 + 0.363606612945176i
4.46733668341709,3.76994961600844e-11 + 0.366003453715766i
4.48241206030151,3.95603480584069e-11 + 0.36848016767386i
4.49748743718593,4.1579698216904e-11 + 0.371044342755868i
4.51256281407035,4.37692188138833e-11 + 0.373704559363461i
4.52763819095477,4.61522355643478e-11 + 0.376470558117901i
4.5427135678392,4.87562358665506e-11 + 0.379353442831624i
4.55778894472362,5.16077815736395e-11 + 0.382365927635383i
4.57286432160804,5.4747265911008e-11 + 0.385522639889443i
4.58793969849246,5.8217836130956e-11 + 0.388840494144072i
4.60301507537688,6.20721998686499e-11 + 0.392339157382874i
4.61809045226131,6.63606878105516e-11 + 0.396041632647081i
4.63316582914573,7.11850353825463e-11 + 0.399974997739634i
4.64824120603015,7.66153600577195e-11 + 0.404171349312513i
4.66331658291457,8.27910758145744e-11 + 0.408669022194942i
4.678391959799,8.98403430652635e-11 + 0.413514182362317i
4.69346733668342,9.79663905201627e-11 + 0.418762934313407i
4.70854271356784,1.07404818002619e-10 + 0.424484147680924i
4.72361809045226,1.18476713887121e-10 + 0.430763306729588i
4.73869346733668,1.31602595102703e-10 + 0.43770784231437i
4.75376884422111,1.47345297968523e-10 + 0.445454658035169i
