"Freq [GHz]","Y(1,1) [mSie]"
4,0.0058340835045579 - 38.0488207263738i
4.01507537688442,0.00570520275892667 - 37.320181771994i
4.03015075376884,0.00558230859405115 - 36.6124995152224i
4.04522613065327,0.00546496299622737 - 35.9247758056495i
4.06030150753769,0.00535280126940937 - 35.2560772614171i
4.07537688442211,0.00524550432455603 - 34.6055274514619i
4.09045226130653,0.00514278576056645 - 33.9723012685206i
4.10552763819095,0.00504438485811113 - 33.3556203336781i
4.12060301507538,0.00495006226781539 - 32.7547489845494i
4.1356783919598,0.00485959706816431 - 32.1689906367618i
4.15075376884422,0.00477278459111904 - 31.5976843970539i
4.16582914572864,0.00468943471661033 - 31.0402018401831i
4.18090452261307,0.00460937047745022 - 30.4959438717165i
4.19597989949749,0.00453242688429354 - 29.9643375950405i
4.21105527638191,0.00445844991677226 - 29.4448330861328i
4.22613065326633,0.00438729564673401 - 28.9368999522974i
4.24120603015075,0.00431882947224677 - 28.4400235062896i
4.25628140703518,0.00425292544855459 - 27.9537003157423i
4.2713567839196,0.00418946570947492 - 27.4774327730566i
4.28643216080402,0.00412833997769637 - 27.0107221436197i
4.30150753768844,0.00406944517087299 - 26.5530592370178i
4.31658291457286,0.00401268512009718 - 26.1039113064604i
4.33165829145729,0.00395797043536126 - 25.6627028196488i
4.34673366834171,0.00390521858289415 - 25.2287859581551i
4.36180904522613,0.00385435429928361 - 24.8013932260398i
4.37688442211055,0.00380531058796342 - 24.3795573973483i
4.39195979899498,0.003758030809492 - 23.9619683170331i
4.4070351758794,0.00371247300953579 - 23.5466986476272i
4.42211055276382,0.00366861929094037 - 23.1306321707594i
4.43718592964824,0.0036264980155189 - 22.7081334942865i
4.45226130653266,0.00358624434963166 - 22.2674487282065i
4.46733668341709,0.00354830586121713 - 21.7785237991417i
4.48241206030151,0.00351446369571903 - 21.132608551592i
4.49748743718593,0.00350077415562457 - 19.3794150919864i
4.51256281407035,0.00339070641375119 - 23.4184848856363i
4.52763819095477,0.00338129743015525 - 21.5532857417872i
4.5427135678392,0.00335246835361526 - 20.9210097809553i
4.55778894472362,0.00332188012371683 - 20.4646958797618i
4.57286432160804,0.00329141123537147 - 20.0700789305556i
4.58793969849246,0.00326154393797119 - 19.7061191849221i
4.60301507537688,0.0032324419583276 - 19.3608308271617i
4.61809045226131,0.00320416434452601 - 19.0285563190355i
4.63316582914573,0.00317672804609972 - 18.7062401645259i
4.64824120603015,0.00315013085774775 - 18.3920598575192i
4.66331658291457,0.00312436119023138 - 18.0848401880963i
4.678391959799,0.00309940269916864 - 17.7837734298857i
4.69346733668342,0.00307523665772451 - 17.4882739045026i
4.70854271356784,0.00305184324582344 - 17.1978971702198i
