capSim:LastAdaptive
Problem Type:  C
C Units:pF, G Units:mSie
Reduce Matrix:  Original
Frequency:  1GHz

Capacitance Matrix
,Q0Pad1,Q0Pad2,Q1Pad1,Q1Pad2,R0Pad1,R0Pad2,R1Pad1,R1Pad2,
Q0Pad1, 0.12434,-0.04302,-0.00379,-0.00253,-0.00000,-0.01159,-0.00000,-0.00005
Q0Pad2,-0.04302, 0.11799,-0.00253,-0.00382,-0.00000,-0.00123,-0.00000,-0.00004
Q1Pad1,-0.00379,-0.00253, 0.10405,-0.02898,-0.00000,-0.00004,-0.00000,-0.00662
Q1Pad2,-0.00253,-0.00382,-0.02898, 0.10179,-0.00000,-0.00004,-0.00000,-0.00116
R0Pad1,-0.00000,-0.00000,-0.00000,-0.00000, 0.07359,-0.00000,-0.00000,-0.00000
R0Pad2,-0.01159,-0.00123,-0.00004,-0.00004,-0.00000, 0.02493,-0.00000,-0.00000
R1Pad1,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.07359,-0.00000
R1Pad2,-0.00005,-0.00004,-0.00662,-0.00116,-0.00000,-0.00000,-0.00000, 0.02364

Capacitance Matrix Coupling Coefficient
,Q0Pad1,Q0Pad2,Q1Pad1,Q1Pad2,R0Pad1,R0Pad2,R1Pad1,R1Pad2,
Q0Pad1, 1.00000, 0.35517, 0.03330, 0.02245, 0.00000, 0.20824, 0.00000, 0.00083
Q0Pad2, 0.35517, 1.00000, 0.02283, 0.03490, 0.00000, 0.02266, 0.00000, 0.00081
Q1Pad1, 0.03330, 0.02283, 1.00000, 0.28159, 0.00000, 0.00082, 0.00000, 0.13358
Q1Pad2, 0.02245, 0.03490, 0.28159, 1.00000, 0.00000, 0.00079, 0.00000, 0.02371
R0Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000, 0.00000, 0.00000, 0.00000
R0Pad2, 0.20824, 0.02266, 0.00082, 0.00079, 0.00000, 1.00000, 0.00000, 0.00001
R1Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000, 0.00000
R1Pad2, 0.00083, 0.00081, 0.13358, 0.02371, 0.00000, 0.00001, 0.00000, 1.00000

Spice Capacitance Matrix
,Q0Pad1,Q0Pad2,Q1Pad1,Q1Pad2,R0Pad1,R0Pad2,R1Pad1,R1Pad2,
Q0Pad1, 0.06337, 0.04302, 0.00379, 0.00253, 0.00000, 0.01159, 0.00000, 0.00005
Q0Pad2, 0.04302, 0.06734, 0.00253, 0.00382, 0.00000, 0.00123, 0.00000, 0.00004
Q1Pad1, 0.00379, 0.00253, 0.06208, 0.02898, 0.00000, 0.00004, 0.00000, 0.00662
Q1Pad2, 0.00253, 0.00382, 0.02898, 0.06526, 0.00000, 0.00004, 0.00000, 0.00116
R0Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.07359, 0.00000, 0.00000, 0.00000
R0Pad2, 0.01159, 0.00123, 0.00004, 0.00004, 0.00000, 0.01202, 0.00000, 0.00000
R1Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.07359, 0.00000
R1Pad2, 0.00005, 0.00004, 0.00662, 0.00116, 0.00000, 0.00000, 0.00000, 0.01576

Conductance Matrix
,Q0Pad1,Q0Pad2,Q1Pad1,Q1Pad2,R0Pad1,R0Pad2,R1Pad1,R1Pad2,
Q0Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
Q0Pad2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
Q1Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
Q1Pad2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
R0Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
R0Pad2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
R1Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
