"Freq [GHz]","Y(1,1) [mSie]"
4,1.69822819745383e-08 - 1.52546511401079i
4.01507537688442,1.73713055067457e-08 - 1.50725840672481i
4.03015075376884,1.77704760028087e-08 - 1.48914085157507i
4.04522613065327,1.81800949044331e-08 - 1.47111143775146i
4.06030150753769,1.86004607688156e-08 - 1.45316916859477i
4.07537688442211,1.90318770313521e-08 - 1.43531306126495i
4.09045226130653,1.94746621709521e-08 - 1.41754214640989i
4.10552763819095,1.99291400689229e-08 - 1.39985546783346i
4.12060301507538,2.03956299187647e-08 - 1.38225208216203i
4.1356783919598,2.08744881958102e-08 - 1.36473105850847i
4.15075376884422,2.13660323062153e-08 - 1.34729147813222i
4.16582914572864,2.18706336292905e-08 - 1.32993243409429i
4.18090452261307,2.23886349208018e-08 - 1.31265303090555i
4.19597989949749,2.29204001970913e-08 - 1.29545238416652i
4.21105527638191,2.34662869074799e-08 - 1.27832962019678i
4.22613065326633,2.40266576726395e-08 - 1.26128387565162i
4.24120603015075,2.46018921830932e-08 - 1.24431429712323i
4.25628140703518,2.51923546008711e-08 - 1.22742004072345i
4.2713567839196,2.57984040025683e-08 - 1.21060027164439i
4.28643216080402,2.64204027332046e-08 - 1.19385416369274i
4.30150753768844,2.70587020740004e-08 - 1.1771808987929i
4.31658291457286,2.77136500366142e-08 - 1.1605796664529i
4.33165829145729,2.83855818138877e-08 - 1.1440496631864i
4.34673366834171,2.90747941285371e-08 - 1.12759009188243i
4.36180904522613,2.97815792740917e-08 - 1.11120016111295i
4.37688442211055,3.05061965071697e-08 - 1.09487908436658i
4.39195979899498,3.12488619761427e-08 - 1.07862607919398i
4.4070351758794,3.20097429270512e-08 - 1.06244036624767i
4.42211055276382,3.27889486417709e-08 - 1.04632116819518i
4.43718592964824,3.35865301270804e-08 - 1.03026770847942i
4.45226130653266,3.44024265967916e-08 - 1.0142792098945i
4.46733668341709,3.52364979841633e-08 - 0.99835489293728i
4.48241206030151,3.60884557289998e-08 - 0.982493973885164i
4.49748743718593,3.69578709988465e-08 - 0.966695662538174i
4.51256281407035,3.7844115372689e-08 - 0.950959159546674i
4.52763819095477,3.87463427820848e-08 - 0.93528365322491i
4.5427135678392,3.96634242331778e-08 - 0.919668315722086i
4.55778894472362,4.05939149561176e-08 - 0.904112298385092i
4.57286432160804,4.15359347882371e-08 - 0.888614726096468i
4.58793969849246,4.24871410508662e-08 - 0.873174690302577i
4.60301507537688,4.34445568594139e-08 - 0.857791240352886i
4.61809045226131,4.44044894622411e-08 - 0.842463372640766i
4.63316582914573,4.53623251621687e-08 - 0.827190016852878i
4.64824120603015,4.63123026571499e-08 - 0.811970018373202i
4.66331658291457,4.72472856689657e-08 - 0.796802115510564i
4.678391959799,4.81583461756038e-08 - 0.781684909664909i
4.69346733668342,4.90343574597529e-08 - 0.766616825720646i
4.70854271356784,4.98613501413298e-08 - 0.751596058696571i
4.72361809045226,5.06217707977668e-08 - 0.736620500725237i
4.73869346733668,5.12934155402402e-08 - 0.721687639321837i
4.75376884422111,5.18480027633597e-08 - 0.706794412821689i
4.76884422110553,5.22492973427024e-08 - 0.691937000328648i
4.78391959798995,5.2450516596251e-08 - 0.677110508699472i
4.79899497487437,5.23907589835109e-08 - 0.662308492400042i
4.81407035175879,5.19902032891667e-08 - 0.647522191906989i
4.82914572864322,5.1143675340603e-08 - 0.632739277269468i
4.84422110552764,4.97128705882788e-08 - 0.617941676099696i
4.85929648241206,4.75194171257728e-08 - 0.603101599914874i
4.87437185929648,4.43494266603695e-08 - 0.588173745481468i
4.8894472361809,4.00136345112574e-08 - 0.573078554600469i
4.90452261306533,3.46585324024227e-08 - 0.557661745926432i
4.91959798994975,3.0341485866072e-08 - 0.541578743754272i
4.93467336683417,4.09486121282705e-08 - 0.523868571423952i
4.94974874371859,2.00083735781718e-07 - 0.500454239506695i
4.96482412060301,1.18128881780272e-05 - 0.397276369955308i
4.97989949748744,2.11147055138498e-06 - 0.526503734945617i
4.99497487437186,6.84044850384739e-07 - 0.493638881386608i
5.01005025125628,4.38104810149426e-07 - 0.474473458766037i
5.0251256281407,3.47615701459487e-07 - 0.458133611430176i
5.04020100502513,3.04081504797907e-07 - 0.442869405099209i
5.05527638190955,2.80491897488645e-07 - 0.42814436840613i
5.07035175879397,2.6719874213671e-07 - 0.413738891847226i
5.08542713567839,2.59963947591714e-07 - 0.399546250347381i
5.10050251256281,2.56658018004095e-07 - 0.385508224780558i
5.11557788944724,2.56106539060804e-07 - 0.371590271961325i
5.13065326633166,2.57617578650322e-07 - 0.357770531260884i
5.14572864321608,2.60764226821387e-07 - 0.344034436651985i
5.1608040201005,2.6527538399395e-07 - 0.330371860782249i
5.17587939698492,2.7097692785782e-07 - 0.316775503626982i
5.19095477386935,2.77758247956517e-07 - 0.303239935745197i
5.20603015075377,2.85552336366834e-07 - 0.289761005508789i
5.22110552763819,2.94323582320447e-07 - 0.276335458341221i
5.23618090452261,3.04060091418138e-07 - 0.262960684425785i
5.25125628140704,3.14768735849553e-07 - 0.24963454695337i
5.26633165829146,3.26472083946945e-07 - 0.236355262375948i
5.28140703517588,3.39206465592495e-07 - 0.223121315122011i
5.2964824120603,3.53020906688367e-07 - 0.209931395675863i
5.31155778894472,3.67976668620997e-07 - 0.196784354819881i
5.32663316582915,3.84147284946313e-07 - 0.183679169259933i
5.34170854271357,4.01618963400318e-07 - 0.170614915394812i
5.35678391959799,4.20491378190132e-07 - 0.157590748992562i
5.37185929648241,4.40878809458547e-07 - 0.144605889200939i
5.38693467336683,4.62911606342839e-07 - 0.131659605767485i
5.40201005025126,4.867380352164e-07 - 0.118751208651601i
5.41708542713568,5.1252657186873e-07 - 0.105880039424118i
5.4321608040201,5.40468629978328e-07 - 0.0930454639990036i
