"Freq [GHz]","Y(1,1) [mSie]"
4,0.0058310776291092 - 38.2401133100091i
4.01507537688442,0.00570302595776755 - 37.513149441404i
4.03015075376884,0.00558070065827357 - 36.8071721171303i
4.04522613065327,0.00546376723270516 - 36.1212024183427i
4.06030150753769,0.00535191583424966 - 35.4543209400167i
4.07537688442211,0.00524485910554518 - 34.8056633268205i
4.09045226130653,0.00514233023582973 - 34.1744162047301i
4.10552763819095,0.00504408121209257 - 33.5598134680508i
4.12060301507538,0.00494988124245586 - 32.9611328861368i
4.1356783919598,0.00485951533247437 - 32.377692998143i
4.15075376884422,0.00477278299751984 - 31.8088502676789i
4.16582914572864,0.0046894970967661 - 31.2539964723281i
4.18090452261307,0.0046094827755147 - 30.7125563057189i
4.19597989949749,0.00453257650479711 - 30.1839851722173i
4.21105527638191,0.00445862520761466 - 29.6677671564259i
4.22613065326633,0.00438748546365604 - 29.1634131515253i
4.24120603015075,0.00431902278387268 - 28.6704591321429i
4.25628140703518,0.00425311094833517 - 28.1884645588866i
4.2713567839196,0.00418963140102223 - 27.7170109029738i
4.28643216080402,0.00412847269587807 - 27.255700280533i
4.30150753768844,0.00406952998946954 - 26.8041541871735i
4.31658291457286,0.00401270457549058 - 26.3620123243335i
4.33165829145729,0.00395790345742748 - 25.9289315097223i
4.34673366834171,0.00390503895565627 - 25.5045846649024i
4.36180904522613,0.00385402834608864 - 25.0886598737042i
4.37688442211055,0.00380479352700431 - 24.6808595057481i
4.39195979899498,0.00375726071212916 - 24.2808993998713i
4.4070351758794,0.00371136014717945 - 23.8885081027237i
4.42211055276382,0.00366702584789387 - 23.5034261582212i
4.43718592964824,0.00362419535790906 - 23.1254054439236i
4.45226130653266,0.00358280952439802 - 22.7542085507452i
4.46733668341709,0.00354281229025098 - 22.3896082027178i
4.48241206030151,0.00350415050101335 - 22.0313867138031i
4.49748743718593,0.00346677372595836 - 21.6793354790034i
4.51256281407035,0.00343063409106808 - 21.3332544972502i
4.52763819095477,0.00339568612399699 - 20.9929519237542i
4.5427135678392,0.00336188660910794 - 20.6582436496896i
4.55778894472362,0.00332919445214118 - 20.3289529072539i
4.57286432160804,0.00329757055330636 - 20.0049098982982i
4.58793969849246,0.00326697768822302 - 19.6859514448632i
4.60301507537688,0.00323738039556864 - 19.3719206600785i
4.61809045226131,0.00320874487076333 - 19.0626666379981i
4.63316582914573,0.00318103886463153 - 18.7580441610438i
4.64824120603015,0.0031542315860723 - 18.4579134238159i
4.66331658291457,0.00312829360753437 - 18.1621397721059i
4.678391959799,0.00310319677176244 - 17.8705934560091i
4.69346733668342,0.00307891409803638 - 17.5831493960749i
4.70854271356784,0.00305541968515097 - 17.2996869614601i
4.72361809045226,0.00303268860759617 - 17.020089759038i
4.73869346733668,0.00301069679957415 - 16.7442454323661i
4.75376884422111,0.00298942091840303 - 16.472045469281i
4.76884422110553,0.00296883817456242 - 16.2033850166381i
4.78391959798995,0.00294892610663239 - 15.9381627002291i
4.79899497487437,0.002929662264739 - 15.6762804470045i
4.81407035175879,0.00291102373719803 - 15.4176433049864i
4.82914572864322,0.00289298639864459 - 15.1621592527753i
4.84422110552764,0.00287552363905257 - 14.9097389832057i
4.85929648241206,0.00285860406530916 - 14.6602956291278i
4.87437185929648,0.00284218700959528 - 14.4137443585426i
4.8894472361809,0.00282621288025003 - 14.170001654794i
4.90452261306533,0.0028105797232503 - 13.9289837459708i
4.91959798994975,0.00279507567571067 - 13.6906023019304i
4.93467336683417,0.00277912594494557 - 13.4547486217547i
4.94974874371859,0.00276025790902541 - 13.2211981493243i
4.96482412060301,0.00268256796841234 - 12.9863765404911i
4.97989949748744,0.00276419514419333 - 12.7638554423474i
4.99497487437186,0.00274272366133086 - 12.5371926181152i
5.01005025125628,0.00272849646789904 - 12.3131951611761i
5.0251256281407,0.00271617746227385 - 12.0914718731254i
5.04020100502513,0.00270485499672113 - 11.8719054805334i
5.05527638190955,0.00269423844811981 - 11.6544183266179i
5.07035175879397,0.00268420294292706 - 11.4389441642751i
5.08542713567839,0.00267468357543199 - 11.2254214983701i
5.10050251256281,0.00266564161419743 - 11.0137913612079i
5.11557788944724,0.00265705136080256 - 10.8039963493664i
5.13065326633166,0.00264889429617381 - 10.5959800922617i
5.14572864321608,0.00264115619868684 - 10.3896868802202i
5.1608040201005,0.00263382561250526 - 10.185061344505i
5.17587939698492,0.00262689298412066 - 9.98204813740466i
5.19095477386935,0.00262035015366986 - 9.78059158000204i
5.20603015075377,0.00261419004709483 - 9.58063525048504i
5.22110552763819,0.00260840648907897 - 9.38212148392366i
5.23618090452261,0.00260299409424764 - 9.184990747336i
5.25125628140704,0.00259794821386244 - 8.98918084135041i
5.26633165829146,0.00259326492693509 - 8.79462586004067i
5.28140703517588,0.0025889410727383 - 8.60125480999712i
5.2964824120603,0.00258497432840268 - 8.40898974214254i
5.31155778894472,0.00258136334185762 - 8.21774317434795i
5.32663316582915,0.0025781079405507 - 8.02741446034681i
5.34170854271357,0.00257520944966101 - 7.83788455584139i
5.35678391959799,0.00257267117815145 - 7.64900828021546i
5.37185929648241,0.00257049917218378 - 7.46060254287535i
5.38693467336683,0.00256870341270933 - 7.27242783215099i
5.40201005025126,0.00256729978486132 - 7.08415797915334i
5.41708542713568,0.00256631345704921 - 6.89532849132086i
5.4321608040201,0.00256578499371662 - 6.70524333933503i
5.44723618090452,0.00256578216749141 - 6.51279516008575i
5.46231155778894,0.00256642479095647 - 6.31608782078444i
5.47738693467337,0.00256794304564732 - 6.11155098091209i
5.49246231155779,0.00257083726310759 - 5.89151818937012i
5.50753768844221,0.00257642893959171 - 5.63589220544525i
5.52261306532663,0.00258969073266066 - 5.26950209619654i
5.53768844221106,0.0026597395473599 - 4.06034170762681i
5.55276381909548,0.00247798297639066 - 6.67456325142421i
5.5678391959799,0.00253254168772365 - 5.67716853839689i
5.58291457286432,0.00254565752227287 - 5.33076235525649i
5.59798994974874,0.00255258852153503 - 5.08467030886856i
5.61306532663317,0.00255759011162772 - 4.87311636475292i
5.62814070351759,0.00256184733150995 - 4.67777815599493i
5.64321608040201,0.00256581832777753 - 4.49152096704762i
5.65829145728643,0.00256971515704507 - 4.310981452932i
5.67336683417085,0.00257364694231193 - 4.13436039092588i
5.68844221105528,0.00257767280474904 - 3.96060328169245i
5.7035175879397,0.00258182432509614 - 3.7890472874322i
5.71859296482412,0.00258611584137047 - 3.61925169228474i
5.73366834170854,0.00259054913064152 - 3.45090945978375i
5.74874371859297,0.002595115015842 - 3.28379796840649i
5.76381909547739,0.00259979280642299 - 3.11775006625597i
5.77889447236181,0.00260454760520917 - 2.9526362925303i
5.79396984924623,0.00260932474783311 - 2.78835353866538i
5.80904522613065,0.00261403951349125 - 2.62481757603556i
5.82412060301508,0.00261855799330379 - 2.46195798360202i
5.8391959798995,0.00262265973851077 - 2.29971460096372i
5.85427135678392,0.00262595892614041 - 2.1380349517837i
5.86934673366834,0.00262771883326736 - 1.97687222761729i
5.88442211055276,0.002626342909336 - 1.81618335534039i
5.89949748743719,0.00261761657450643 - 1.6559258711371i
5.91457286432161,0.0025856489448792 - 1.49604592994744i
5.92964824120603,0.00237217064107979 - 1.33630272175948i
5.94472361809045,0.00295978194967613 - 1.17787612424651i
5.95979899497487,0.00280441801203643 - 1.01890336101138i
5.9748743718593,0.00277830038790628 - 0.860356480798306i
5.98994974874372,0.00277273146550595 - 0.702095867479893i
6.00502512562814,0.00277440106113283 - 0.544082161228709i
6.02010050251256,0.00277958183760214 - 0.386287339642183i
6.03517587939699,0.00278682257329335 - 0.228686624162869i
6.05025125628141,0.00279544231337442 - 0.0712567068944672i
6.06532663316583,0.00280508036934384 + 0.0860248394964418i
6.08040201005025,0.00281552883686533 + 0.243179823579981i
6.09547738693467,0.00282666030495455 + 0.400229579496225i
6.1105527638191,0.0028383930995047 + 0.557195060335698i
6.12562814070352,0.00285067313703218 + 0.714096905665548i
6.14070351758794,0.00286346381203355 + 0.870955494133666i
6.15577889447236,0.00287674005473263 + 1.02779098652999i
6.17085427135678,0.00289048468265368 + 1.18462336224844i
6.18592964824121,0.00290468607630688 + 1.34147245091543i
6.20100502512563,0.00291933665098076 + 1.49835796032846i
6.21608040201005,0.00293443182448538 + 1.65529950149447i
6.23115577889447,0.00294996930327285 + 1.81231661134087i
6.24623115577889,0.00296594857863069 + 1.96942877353071i
6.26130653266332,0.00298237056476092 + 2.12665543771823i
6.27638190954774,0.00299923733484666 + 2.28401603751186i
6.29145728643216,0.0030165519259151 + 2.44153000736122i
6.30653266331658,0.00303431819306135 + 2.59921679854683i
6.321608040201,0.00305254069959138 + 2.75709589442093i
6.33668341708543,0.00307122463359748 + 2.91518682502497i
6.35175879396985,0.0030903757443843 + 3.0735091811905i
6.36683417085427,0.00311000029393623 + 3.2320826282149i
