"Freq [GHz]","Y(1,1) [mSie]"
4,0.00122864462190736 + 0.533353288888383i
4.01507537688442,0.0012378820741209 + 0.535660644091483i
4.03015075376884,0.00124717574973826 + 0.537979922517123i
4.04522613065327,0.00125648027074709 + 0.540311721641736i
4.06030150753769,0.00126582689360852 + 0.542656638329034i
4.07537688442211,0.00127520735465494 + 0.545015361287693i
4.09045226130653,0.00128461473240273 + 0.547388633675319i
4.10552763819095,0.00129406577926073 + 0.549777132874334i
4.12060301507538,0.00130355750085521 + 0.55218175631017i
4.1356783919598,0.00131306678515748 + 0.554603323430104i
4.15075376884422,0.00132264017763149 + 0.557042774494739i
4.16582914572864,0.00133220702406033 + 0.559501152355564i
4.18090452261307,0.00134182637835417 + 0.561979501366403i
4.19597989949749,0.00135148373227217 + 0.564479039850449i
4.21105527638191,0.00136118213431608 + 0.567000975792213i
4.22613065326633,0.0013709179887121 + 0.569546714829559i
4.24120603015075,0.001380675514603 + 0.572117726662508i
4.25628140703518,0.001390477819831 + 0.574715583639972i
4.2713567839196,0.00140029604400518 + 0.577342054399409i
4.28643216080402,0.00141015427226282 + 0.579999025236585i
4.30150753768844,0.00142005777795616 + 0.582688578519219i
4.31658291457286,0.00142999034117339 + 0.585412948609297i
4.33165829145729,0.00143994654602589 + 0.588174602467479i
4.34673366834171,0.00144995717981007 + 0.590976279280786i
4.36180904522613,0.00145998620851445 + 0.593820931648362i
4.37688442211055,0.00147005365809511 + 0.596711848783562i
4.39195979899498,0.00148016831367584 + 0.599652652978835i
4.4070351758794,0.00149030000271591 + 0.60264733912349i
4.42211055276382,0.0015004689095686 + 0.605700378235699i
4.43718592964824,0.00151068047442988 + 0.608816737623204i
4.45226130653266,0.00152092191279517 + 0.612001917287764i
4.46733668341709,0.00153119189925722 + 0.615262159447552i
4.48241206030151,0.00154151153424222 + 0.618604406810815i
4.49748743718593,0.00155186112653367 + 0.622036505463525i
4.51256281407035,0.00156226055190703 + 0.625567375353386i
4.52763819095477,0.00157265667512567 + 0.629207101923038i
4.5427135678392,0.00158309759799268 + 0.632967230964315i
4.55778894472362,0.00159359122709057 + 0.636860984562899i
4.57286432160804,0.00160411964848692 + 0.640903593318316i
4.58793969849246,0.0016146776242175 + 0.645112703852406i
4.60301507537688,0.00162526499661419 + 0.649508859419723i
4.61809045226131,0.00163588996541304 + 0.654116117509621i
4.63316582914573,0.00164655490544596 + 0.658962883054426i
4.64824120603015,0.00165726638302469 + 0.664082846362812i
4.66331658291457,0.00166800291589531 + 0.669516346459578i
4.678391959799,0.00167877211770877 + 0.675312081602925i
