capSim:LastAdaptive
Problem Type:  C
C Units:pF, G Units:mSie
Reduce Matrix:  Original
Frequency:  1GHz

Capacitance Matrix
,Q0Pad1,Q0Pad2,Q1Pad1,Q1Pad2,R0Pad1,R0Pad2,R1Pad1,R1Pad2,
Q0Pad1, 0.12415,-0.04290,-0.00383,-0.00254,-0.00000,-0.01146,-0.00000,-0.00005
Q0Pad2,-0.04290, 0.11794,-0.00254,-0.00387,-0.00000,-0.00129,-0.00000,-0.00004
Q1Pad1,-0.00383,-0.00254, 0.10405,-0.02895,-0.00000,-0.00004,-0.00000,-0.00665
Q1Pad2,-0.00254,-0.00387,-0.02895, 0.10178,-0.00000,-0.00004,-0.00000,-0.00122
R0Pad1,-0.00000,-0.00000,-0.00000,-0.00000, 0.07348,-0.00000,-0.00000,-0.00000
R0Pad2,-0.01146,-0.00129,-0.00004,-0.00004,-0.00000, 0.02480,-0.00000,-0.00000
R1Pad1,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.07338,-0.00000
R1Pad2,-0.00005,-0.00004,-0.00665,-0.00122,-0.00000,-0.00000,-0.00000, 0.02363

Capacitance Matrix Coupling Coefficient
,Q0Pad1,Q0Pad2,Q1Pad1,Q1Pad2,R0Pad1,R0Pad2,R1Pad1,R1Pad2,
Q0Pad1, 1.00000, 0.35454, 0.03371, 0.02262, 0.00000, 0.20652, 0.00000, 0.00084
Q0Pad2, 0.35454, 1.00000, 0.02297, 0.03533, 0.00000, 0.02388, 0.00000, 0.00082
Q1Pad1, 0.03371, 0.02297, 1.00000, 0.28130, 0.00000, 0.00082, 0.00000, 0.13417
Q1Pad2, 0.02262, 0.03533, 0.28130, 1.00000, 0.00000, 0.00079, 0.00000, 0.02485
R0Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000, 0.00000, 0.00000, 0.00000
R0Pad2, 0.20652, 0.02388, 0.00082, 0.00079, 0.00000, 1.00000, 0.00000, 0.00002
R1Pad1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000, 0.00000
R1Pad2, 0.00084, 0.00082, 0.13417, 0.02485, 0.00000, 0.00002, 0.00000, 1.00000

Spice Capacitance Matrix
,Q0Pad1,Q0Pad2,Q1Pad1,Q1Pad2,R0Pad1,R0Pad2,R1Pad1,R1Pad2,
