"F [GHz]","Y(1,1) []"
4,-1.15810185129261e-14 - 35.6230355402275i
4.01507537688442,6.71072220855715e-15 - 34.8118033912598i
4.03015075376884,-1.51575744309928e-14 - 34.0633515872192i
4.04522613065327,-8.39800019654124e-15 - 33.3593948121368i
4.06030150753769,-1.22287084501453e-14 - 32.6897361340617i
4.07537688442211,-1.98047381936961e-15 - 32.0481167120441i
4.09045226130653,7.70422358055134e-15 - 31.4303919457267i
4.10552763819095,-3.7489829897206e-15 - 30.8336418809378i
4.12060301507538,-3.65098905580664e-15 - 30.255700885968i
4.1356783919598,0 - 29.694892398527i
4.15075376884422,3.46865588141268e-15 - 29.1498711283692i
4.16582914572864,1.69180947286117e-15 - 28.6195248361937i
4.18090452261307,1.65114254438076e-15 - 28.1029107321182i
4.19597989949749,1.12854390118335e-14 - 27.5992127955669i
4.21105527638191,-6.29956119396358e-15 - 27.1077121467172i
4.22613065326633,7.69549638345498e-15 - 26.6277657462785i
4.24120603015075,3.00948798542578e-15 - 26.1587904456449i
4.25628140703518,-5.88697351456549e-15 - 25.7002503696265i
4.2713567839196,4.32006775971604e-15 - 25.2516460747914i
4.28643216080402,7.04755943331178e-15 - 24.8125039689165i
4.30150753768844,-6.90072771680022e-15 - 24.3823639700283i
4.31658291457286,1.35186043642483e-15 - 23.9607617833483i
4.33165829145729,-3.97378181601452e-15 - 23.5471977733852i
4.34673366834171,2.5965596039362e-15 - 23.1410714786198i
4.36180904522613,0 - 22.7415168873528i
4.37688442211055,1.24814515103745e-14 - 22.346887164405i
4.39195979899498,2.44779910689325e-15 - 21.9525071837952i
4.4070351758794,-2.39693948254637e-15 - 21.53110449638i
4.42211055276382,2.39823236106184e-15 - 21.5419188887638i
4.43718592964824,4.65457438010223e-15 - 20.9402382448688i
4.45226130653266,-1.14183252763721e-15 - 20.5615429225978i
4.46733668341709,3.36478970914378e-15 - 20.2038487162289i
4.48241206030151,-2.20455368359989e-15 - 19.856338329065i
4.49748743718593,-1.08369875589328e-15 - 19.516332906457i
4.51256281407035,2.13156781106455e-15 - 19.1827589248788i
4.52763819095477,4.19393752179264e-15 - 18.855042254379i
4.5427135678392,0 - 18.5328089201954i
4.55778894472362,6.09358106369046e-15 - 18.2157802708079i
4.57286432160804,1.99991003803443e-15 - 17.9037294485063i
4.58793969849246,2.95445100765966e-15 - 17.5964609429365i
4.60301507537688,8.73145954567945e-15 - 17.2938000226529i
4.61809045226131,1.91194274750369e-15 - 16.9955868276711i
4.63316582914573,0 - 16.7016728392861i
4.64824120603015,3.71564486695778e-15 - 16.4119186425867i
4.66331658291457,-5.49605429771322e-15 - 16.1261924311056i
4.678391959799,-3.61402034787674e-15 - 15.8443689580962i
4.69346733668342,-1.78277001860041e-15 - 15.5663287680972i
