"F [GHz]","Y(1,1) []"
4,1.86264495150632e-08 + 0.515298936628144i
4.01507537688442,1.86264524526316e-08 + 0.520614270336461i
4.03015075376884,1.86264526158476e-08 + 0.525955399063693i
4.04522613065327,1.86264528882839e-08 + 0.531427515066697i
4.06030150753769,1.86264498077435e-08 + 0.537105102105551i
4.07537688442211,1.86264502898822e-08 + 0.543050958744338i
4.09045226130653,1.86264521483713e-08 + 0.549325490036912i
4.10552763819095,1.86264521839299e-08 + 0.555992296696353i
4.12060301507538,1.86264513807031e-08 + 0.563122418221361i
4.1356783919598,1.86264513389339e-08 + 0.570798350979229i
4.15075376884422,1.8626449274691e-08 + 0.579118539306346i
4.16582914572864,1.86264498928606e-08 + 0.588202947087093i
4.18090452261307,1.86264487123292e-08 + 0.59820041539566i
4.19597989949749,1.86264513497247e-08 + 0.609298781604366i
4.21105527638191,1.86264568908247e-08 + 0.621739236639748i
4.22613065326633,1.86264533087345e-08 + 0.635837278992192i
4.24120603015075,1.86264508666014e-08 + 0.652014191702086i
4.25628140703518,1.86264530175666e-08 + 0.670845844270381i
4.2713567839196,1.86264516530934e-08 + 0.693141125965675i
4.28643216080402,1.86264544852805e-08 + 0.720073411595371i
4.30150753768844,1.8626453972231e-08 + 0.753412247935484i
4.31658291457286,1.86264521498801e-08 + 0.795957406539735i
4.33165829145729,1.86264534944766e-08 + 0.85241668958668i
4.34673366834171,1.86264545767787e-08 + 0.931365515405301i
4.36180904522613,1.86264510975641e-08 + 1.05024570294725i
4.37688442211055,1.86264543314841e-08 + 1.25081975166057i
4.39195979899498,1.86264533377691e-08 + 1.66424811061369i
4.4070351758794,1.86264541566424e-08 + 3.02569724099661i
4.42211055276382,1.86264543666211e-08 - 16.3095906213288i
4.43718592964824,1.86264558905906e-08 - 1.4623980379723i
4.45226130653266,1.86264541249561e-08 - 0.545498978748453i
4.46733668341709,1.86264549850884e-08 - 0.213133835183514i
4.48241206030151,1.86264545731794e-08 - 0.0408459225857135i
4.49748743718593,1.86264506922408e-08 + 0.0649512483287007i
4.51256281407035,1.86264527838024e-08 + 0.136790265946219i
4.52763819095477,1.86264526410985e-08 + 0.188956221128744i
4.5427135678392,1.86264508998155e-08 + 0.228707098805146i
4.55778894472362,1.86264528175574e-08 + 0.260121547094241i
4.57286432160804,1.8626454211117e-08 + 0.28566792703628i
4.58793969849246,1.8626451514567e-08 + 0.306927619819456i
4.60301507537688,1.86264509286061e-08 + 0.324960597699892i
4.61809045226131,1.86264505613509e-08 + 0.34050395833625i
4.63316582914573,1.86264532767077e-08 + 0.354086164238282i
4.64824120603015,1.86264494915898e-08 + 0.366095983330147i
4.66331658291457,1.86264519168025e-08 + 0.37682578745105i
4.678391959799,1.8626449478396e-08 + 0.386499686297354i
4.69346733668342,1.86264503440204e-08 + 0.395292351389829i
4.70854271356784,1.86264500744124e-08 + 0.403341936493456i
4.72361809045226,1.86264514408636e-08 + 0.410759147240547i
4.73869346733668,1.86264497473451e-08 + 0.417633735570857i
4.75376884422111,1.86264510480037e-08 + 0.424039233497375i
4.76884422110553,1.86264550010824e-08 + 0.430036459008827i
4.78391959798995,1.86264535715734e-08 + 0.435676150283666i
4.79899497487437,1.86264500179873e-08 + 0.441000971010567i
4.81407035175879,1.86264527134394e-08 + 0.446047055280161i
4.82914572864322,1.86264532483817e-08 + 0.450845210839188i
4.84422110552764,1.8626453823745e-08 + 0.455421865716584i
4.85929648241206,1.86264494506492e-08 + 0.459799819886032i
4.87437185929648,1.86264526926134e-08 + 0.463998847257431i
4.8894472361809,1.86264549051334e-08 + 0.46803618165079i
4.90452261306533,1.86264535293711e-08 + 0.471926912027152i
4.91959798994975,1.8626451493079e-08 + 0.475684306148353i
4.93467336683417,1.86264501077729e-08 + 0.479320077343803i
4.94974874371859,1.86264545246942e-08 + 0.482844605720091i
4.96482412060301,1.8626449309267e-08 + 0.486267122639324i
4.97989949748744,1.86264519428881e-08 + 0.48959586539061i
4.99497487437186,1.8626452069207e-08 + 0.492838207526382i
5.01005025125628,1.86264542486686e-08 + 0.496000769216649i
5.0251256281407,1.86264540923403e-08 + 0.499089511106541i
5.04020100502513,1.86264483772215e-08 + 0.502109814484635i
5.05527638190955,1.86264519032426e-08 + 0.505066550036474i
5.07035175879397,1.86264526089938e-08 + 0.507964137035898i
5.08542713567839,1.86264505964887e-08 + 0.510806594490949i
5.10050251256281,1.86264516581917e-08 + 0.513597585492333i
5.11557788944724,1.86264524431586e-08 + 0.516340455795984i
5.13065326633166,1.86264498467776e-08 + 0.519038267496265i
5.14572864321608,1.86264526097251e-08 + 0.521693828503982i
5.1608040201005,1.86264469806203e-08 + 0.524309718427153i
5.17587939698492,1.86264517036666e-08 + 0.526888311357122i
5.19095477386935,1.86264519635852e-08 + 0.529431795984i
5.20603015075377,1.86264536313605e-08 + 0.531942193400471i
5.22110552763819,1.8626454463673e-08 + 0.534421372898952i
5.23618090452261,1.86264541760862e-08 + 0.536871066022196i
5.25125628140704,1.86264521216524e-08 + 0.53929287908974i
5.26633165829146,1.86264543415941e-08 + 0.54168830439107i
5.28140703517588,1.86264502317542e-08 + 0.544058730209798i
5.2964824120603,1.86264509365847e-08 + 0.54640544982075i
5.31155778894472,1.86264530801284e-08 + 0.548729669582891i
5.32663316582915,1.8626452226632e-08 + 0.551032516234975i
5.34170854271357,1.862644984014e-08 + 0.553315043487163i
5.35678391959799,1.8626452492812e-08 + 0.555578237990334i
5.37185929648241,1.86264528965072e-08 + 0.557823024755006i
5.38693467336683,1.86264513192907e-08 + 0.560050272083528i
5.40201005025126,1.86264488280836e-08 + 0.562260796072324i
5.41708542713568,1.86264512883893e-08 + 0.56445536473524i
5.4321608040201,1.86264522681787e-08 + 0.566634701794475i
5.44723618090452,1.86264541098774e-08 + 0.568799490182082i
5.46231155778894,1.86264521123776e-08 + 0.570950375292604i
5.47738693467337,1.86264520009257e-08 + 0.573087968026191i
5.49246231155779,1.86264523467788e-08 + 0.575212847661668i
5.50753768844221,1.86264507153035e-08 + 0.577325564600804i
5.52261306532663,1.86264502613657e-08 + 0.579426643028981i
5.53768844221106,1.86264521923768e-08 + 0.581516583544253i
5.55276381909548,1.86264528102981e-08 + 0.583595865817788i
5.5678391959799,1.86264561685974e-08 + 0.585664951365526i
5.58291457286432,1.86264514301256e-08 + 0.587724286536789i
5.59798994974874,1.86264539178678e-08 + 0.589774305865153i
5.61306532663317,1.86264478828704e-08 + 0.591815435988108i
5.62814070351759,1.86264518062008e-08 + 0.593848100438214i
5.64321608040201,1.86264501434578e-08 + 0.595872725762448i
5.65829145728643,1.86264512159101e-08 + 0.597889749679244i
5.67336683417085,1.86264562539059e-08 + 0.599899632409182i
5.68844221105528,1.86264521767799e-08 + 0.601902873058597i
5.7035175879397,1.86264561257265e-08 + 0.603900034279606i
5.71859296482412,1.86264516399871e-08 + 0.605891780967849i
5.73366834170854,1.86264490077036e-08 + 0.607878943796009i
5.74874371859297,1.86264531617296e-08 + 0.609862628986211i
5.76381909547739,1.86264512980078e-08 + 0.61184441969448i
5.77889447236181,1.86264565675595e-08 + 0.613826773476311i
5.79396984924623,1.86264524572509e-08 + 0.615813882838918i
5.80904522613065,1.8626451536065e-08 + 0.617813781613664i
5.82412060301508,1.86264510706082e-08 + 0.619844472986868i
5.8391959798995,1.86264474226479e-08 + 0.621957223487043i
5.85427135678392,1.86264546249815e-08 + 0.624382266243115i
5.86934673366834,1.86264489783772e-08 + 0.633841672647145i
5.88442211055276,1.86264524232669e-08 + 0.625728956067629i
5.89949748743719,1.86264534836432e-08 + 0.628405072062333i
5.91457286432161,1.86264531468002e-08 + 0.630541178316004i
5.92964824120603,1.86264532922472e-08 + 0.632553646412038i
5.94472361809045,1.86264574570076e-08 + 0.634516141646679i
5.95979899497487,1.86264543046273e-08 + 0.636452117592971i
5.9748743718593,1.86264502834273e-08 + 0.638371419332291i
5.98994974874372,1.8626449695919e-08 + 0.64027893923374i
6.00502512562814,1.86264511189484e-08 + 0.642177410021105i
6.02010050251256,1.86264540137828e-08 + 0.644068498027896i
6.03517587939699,1.86264503324038e-08 + 0.645953292452969i
6.05025125628141,1.86264501800882e-08 + 0.647832547155229i
6.06532663316583,1.86264511081614e-08 + 0.649706809699166i
6.08040201005025,1.86264516934676e-08 + 0.651576494597819i
6.09547738693467,1.8626453342639e-08 + 0.653441927038795i
6.1105527638191,1.86264499220045e-08 + 0.65530337011895i
6.12562814070352,1.86264498218375e-08 + 0.657161042432321i
6.14070351758794,1.86264507332621e-08 + 0.659015129789927i
6.15577889447236,1.86264528597094e-08 + 0.660865793247268i
6.17085427135678,1.86264565858963e-08 + 0.662713174738958i
6.18592964824121,1.86264538382866e-08 + 0.664557401121694i
6.20100502512563,1.86264526368835e-08 + 0.666398587133627i
6.21608040201005,1.86264509374058e-08 + 0.668236837600496i
6.23115577889447,1.86264523045291e-08 + 0.670072249108226i
6.24623115577889,1.86264508985207e-08 + 0.671904911291032i
6.26130653266332,1.8626451937581e-08 + 0.673734907838074i
6.27638190954774,1.86264554426914e-08 + 0.675562317291049i
6.29145728643216,1.86264517307188e-08 + 0.6773872136844i
6.30653266331658,1.86264546507033e-08 + 0.679209667065539i
6.321608040201,1.86264496041331e-08 + 0.681029743922504i
6.33668341708543,1.86264543345241e-08 + 0.682847507539425i
6.35175879396985,1.86264523629056e-08 + 0.684663018295057i
6.36683417085427,1.86264517068724e-08 + 0.686476333916019i
6.38190954773869,1.86264518912581e-08 + 0.688287509693577i
6.39698492462312,1.86264516548816e-08 + 0.690096598670895i
6.41206030150754,1.86264525587328e-08 + 0.691903651806102i
6.42713567839196,1.86264490471693e-08 + 0.693708718115394i
6.44221105527638,1.8626448642591e-08 + 0.695511844799548i
6.4572864321608,1.86264554155543e-08 + 0.697313077356513i
6.47236180904523,1.86264502150524e-08 + 0.699112459682245i
6.48743718592965,1.86264541932275e-08 + 0.700910034161557i
6.50251256281407,1.86264520372092e-08 + 0.702705841750383i
6.51758793969849,1.86264533361392e-08 + 0.704499922050681i
6.53266331658291,1.8626452221051e-08 + 0.706292313378906i
6.54773869346734,1.86264544035416e-08 + 0.708083052828912i
6.56281407035176,1.86264511094813e-08 + 0.709872176329922i
6.57788944723618,1.86264532611407e-08 + 0.711659718700175i
6.5929648241206,1.86264511593082e-08 + 0.713445713696719i
6.60804020100502,1.86264510496089e-08 + 0.71523019406177i
6.62311557788945,1.86264524514335e-08 + 0.717013191565997i
6.63819095477387,1.86264526694907e-08 + 0.718794737049033i
6.65326633165829,1.86264519699241e-08 + 0.720574860457488i
6.66834170854271,1.86264558254638e-08 + 0.722353590880679i
